id,collection
18111,Re-Animator Collection
16281,Creepshow Collection
16288,Creepshow Collection
1694,Re-Animator Collection
24831,Piranha Collection
37853,Mister Roberts Collection
14035,Meatballs Collection
40771,Meatballs Collection
40772,Meatballs Collection
40773,Meatballs Collection
10228,Pokémon Collection
11663,Barrytown Trilogy
9264,Poison Ivy Collection
18222,Poison Ivy Collection
20565,The Up Series
36643,James Bond Collection
863,Toy Story Collection
32669,The Jake Gittes Collection
10402,Deuce Bigalow Collection
25188,The Last Picture Show Collection
15515,The Sinbad Collection
10137,Stuart Little Collection
49948,Fantasia Collection
10471,Friday Collection
14919,Batman (DC Universe Animated) Collection
2005,Sister Act Collection
6279,Sister Act Collection
8872,Wayne's World Collection
8873,Wayne's World Collection
9869,The Jack Ryan Collection
9367,Mexico Trilogy
16562,The Cutting Edge Collection
4234,Scream Collection
9605,Single White Female Collection
8374,The Boondock Saints Collection
25934,"To Sir, with Love Collection"
2787,The Chronicles of Riddick Collection
2069,The Whole Nine/Ten Yards Collection
10839,Cross of Iron Collection
838,American Graffiti Collection
11176,The Muppet Collection
11899,The Muppet Collection
9532,Final Destination Collection
13939,Death Wish Collection
14373,Death Wish Collection
24873,Death Wish Collection
26263,Death Wish Collection
34746,Death Wish Collection
1498,Teenage Mutant Ninja Turtles (Original) Collection
1497,Teenage Mutant Ninja Turtles (Original) Collection
1499,Teenage Mutant Ninja Turtles (Original) Collection
11690,Bloodsport Collection
11520,Grumpy Old Men Collection
990,The Hustler Collection
11478,The Skulls Collection
11356,The Odd Couple Collection
17339,Navarone Collection
26879,Beach Party Collection
13665,Arthur Collection
12309,Bachelor Party Collection
106,Predator Collection
1359,American Psycho Collection
10557,East is East Collection
11977,Caddyshack Collection
9456,The Crow Collection
889,The Flintstones (Live-Action) Collection
452,Heart of Gold Collection
39283,Carnosaur Collection
65460,Carnosaur Collection
55667,Carnosaur Collection
12476,Hidden Collection
16395,The Three Mothers Collection
5608,Die Nibelungen Filmreihe
10560,Center Stage Collection
5683,Pee-wee's Collection
14906,Caballeros Collection
9285,Road Trip Collection
955,Mission: Impossible Collection
8584,Shanghai Noon Collection
668,James Bond Collection
691,James Bond Collection
698,James Bond Collection
682,James Bond Collection
9600,Big Momma's House Collection
21,The Endless Summer Collection
10911,Navarone Collection
26912,Quatermass (Hammer series)
26278,Quatermass (Hammer series)
26953,Puppet Master Collection
26954,Puppet Master Collection
26956,Puppet Master Collection
26957,Puppet Master Collection
26958,Puppet Master Collection
26959,Puppet Master Collection
26960,Puppet Master Collection
23069,The Benji Collection
21299,The Benji Collection
38802,The Benji Collection
21137,The Decline of Western Civilization Collection
36724,The Decline of Western Civilization Collection
938,The Man With No Name Collection
10648,Dirty Harry Collection
10246,Porky's Collection
19698,Porky's Collection
23919,Porky's Collection
26554,Nuke 'Em High Collection
15239,The Toxic Avenger Collection
28165,The Toxic Avenger Collection
28169,The Toxic Avenger Collection
169,Predator Collection
10128,Alien Nation Collection
9659,Mad Max Collection
8810,Mad Max Collection
9355,Mad Max Collection
10068,9½ Weeks Collection
11495,Firestarter Collection
482,Shaft Collection
479,Shaft Collection
9873,F/X Collection
16820,F/X Collection
15379,Missing in Action Collection
12764,Missing in Action Collection
27352,Missing in Action Collection
17897,The Sinbad Collection
16094,House Party Collection
16096,House Party Collection
11822,Nekromantik Collection
494,Shaft Collection
493,Shaft Collection
4247,Scary Movie Collection
36657,X-Men Collection
12599,Pokémon Collection
11940,The Sinbad Collection
12107,The Nutty Professor Collection
9383,Hollow Man Collection
15158,Phantasm Collection
16139,Phantasm Collection
16146,Phantasm Collection
26515,Pumpkinhead Collection
13567,Sleepaway Camp Collection
20850,"Ilsa, She Wolf of the SS Collection"
8843,The Cell Collection
10643,Godzilla (Millennium) Collection
37136,Naked Gun Collection
37137,Naked Gun Collection
11398,The Art of War Collection
1588,Bring It On Collection
12211,Highlander Collection
1698,Anatomy Collection
12212,Urban Legend
16,Heart of Gold Collection
9003,Hellraiser Collection
9064,Hellraiser Collection
11569,Hellraiser Collection
26484,Beach Party Collection
39113,Beach Party Collection
38126,The Fly (1958 series)
53617,Beach Party Collection
10973,Creature From The Black Lagoon (Universal Series)
10787,The Invisible Man (Universal Series)
27475,The Slumber Party Massacre Collection
27764,The Slumber Party Massacre Collection
27767,The Slumber Party Massacre Collection
40760,The Sorority House Massacre Collection
40446,The Sorority House Massacre Collection
20455,Digimon Collection
1597,Meet the Parents Collection
21142,Billy Jack Collection
78140,Billy Jack Collection
18498,Ghoulies Collection
28605,Ghoulies Collection
12207,Drunken Master Collection
11531,Blair Witch Collection
4327,Charlie's Angels Collection
681,James Bond Collection
16340,Rugrats Collection
10481,101 Dalmatians (Live-Action) Collection
146,"Crouching Tiger, Hidden Dragon Collection"
11849,Dungeons & Dragons Collection
708,James Bond Collection
10673,Wall Street Collection
11688,The Emperor's New Groove Collection
1493,Miss Congeniality Collection
10577,Dracula 2000 Collection
15739,Annie Collection
9816,Save The Last Dance Collection
96,Beverly Hills Cop Collection
90,Beverly Hills Cop Collection
19933,The Brave Little Toaster Collection
18935,Ernest Collection
764,Evil Dead Collection
580,The Jaws Collection
1547,Lost Boys Collection
10019,Mannequin Collection
37302,Left Behind Collection
843,Wong Kar-Wai's Informal Collection
9740,The Hannibal Lecter Anthology
19405,Disneys Große Pause
43332,Demetrius Filmreihe
17965,Dr. Phibes Collection
11454,The Hannibal Lecter Anthology
14052,Revenge of the Nerds Collection
16889,Revenge of the Nerds Collection
23730,C.H.U.D. Collection
10054,Spy Kids Collection
2043,Alex Cross Collection
56715,The Visitors Collection
10991,Pokémon Collection
634,Bridget Jones Collection
10956,Joe Dirt Collection
9290,Crocodile Dundee Collection
1734,The Mummy Collection
808,Shrek Collection
1406,City Slickers Collection
41050,Alienation Trilogy
966,The Magnificent Seven Collection
12639,The Magnificent Seven Collection
10865,Atlantis Collection
1995,Tomb Raider Collection
10808,Dr. Dolittle Collection
9799,The Fast and the Furious Collection
60670,The Crimson Rivers Collection
10992,Cats & Dogs Collection
4248,Scary Movie Collection
26483,Beach Party Collection
24382,Totò Collection
11286,Cannonball Run Collection
11950,Cannonball Run Collection
12236,Cannonball Run Collection
26573,Dr Goldfoot Collection
20075,Cheech & Chong Collection
20197,Cheech & Chong Collection
11906,The Three Mothers Collection
2114,Final Fantasy Collection
8835,Legally Blonde Collection
26044,Arthur Collection
30502,Pee-wee's Collection
18509,Caddyshack Collection
3980,Critters Collection
10127,Critters Collection
12702,Critters Collection
10651,Dirty Harry Collection
5680,Elvira Collection
26386,Ernest Collection
38500,The Howling Collection
12144,The Land Before Time Collection
24929,Return of the Living Dead Collection
10925,Return of the Living Dead Collection
13965,The Man From Snowy River Collection
24266,The Man From Snowy River Collection
11966,Short Circuit Collection
2605,Short Circuit Collection
41428,Tetsuo Collection
29095,The Waxwork Collection
12500,American Ninja Collection
25678,American Ninja Collection
25682,American Ninja Collection
32049,Best of the Best Collection
1648,Bill & Ted's Most Excellent Collection
53150,C.H.U.D. Collection
10134,Cyborg Collection
15142,Dream a Little Dream Collection
25005,Eddie and the Cruisers Collection
21721,Eddie and the Cruisers Collection
10345,K-9 Collection
10222,Kickboxer Collection
9494,Look Who's Talking Collection
9942,Major League Collection
331,Jurassic Park Collection
19142,Swamp Thing Collection
41946,The Musketeers Collection
10135,Road House Collection
30666,The Stepfather Collection
25155,The Stepfather Collection
11342,Warlock Collection
24126,Warlock Collection
8494,Weekend at Bernie's Collection
27813,Basket Case Collection
9880,The Princess Diaries Collection
5175,Rush Hour Collection
4484,La cage aux folles
11684,La cage aux folles
17169,Philo & Clyde Collection
2770,American Pie Collection
8922,Jeepers Creepers Collection
16314,3 Ninjas Collection
18885,3 Ninjas Collection
40508,3 Ninjas Collection
30379,Omega Code Series
35200,A Man Called Horse Collection
9398,Zoolander Collection
10866,Joy Ride Collection
166,The Party Collection
13612,Cheech & Chong Collection
984,Dirty Harry Collection
141,Darko Collection
585,"Monsters, Inc. Collection"
45964,When a Stranger Calls Collection
671,Harry Potter Collection
16085,Fanny Brice Collection
16441,Beastmaster Collection
34388,Harry Palmer Collection
37835,The Exterminator Collection
26398,Caprona Collection
10649,Dirty Harry Collection
27591,Caprona Collection
10650,Dirty Harry Collection
8007,Behind Enemy Lines Collection
161,Ocean's Collection
1649,Bill & Ted's Most Excellent Collection
120,The Lord of the Rings Collection
12593,Fritz the Cat Collection
14683,Fritz the Cat Collection
45491,Sex and Zen Collection
11595,48 Hrs. Collection
9610,Conan the Barbarian Collection
150,48 Hrs. Collection
11528,The Sandlot Collection
16690,Peter Pan Collection
39939,Super Troopers Collection
39282,Fanny Brice Collection
993,Sleuth Collection
11979,The Vampire Chronicles
25006,State Property Collection
23479,The Bad New Bears Collection
66946,The Bad New Bears Collection
19050,The Bad New Bears Collection
108266,The Lone Ranger (Clayton Moore) Collection
108267,The Lone Ranger (Clayton Moore) Collection
15999,Vampire Hunter D Collection
13225,FernGully Collection
7219,Zombi Collection
26200,Get Smart Collection
38147,"Oh, God! Collection"
24032,"Oh, God! Collection"
425,Ice Age Collection
1576,Resident Evil Collection
17804,The Paleface Collection
31805,Road to Collection
13861,Road to Collection
29021,Road to Collection
31812,Road to Collection
28213,Tales of the Four Seasons
12705,Smokey and the Bandit Collection
11006,Smokey and the Bandit Collection
15120,Smokey and the Bandit Collection
16026,Sällskapsresorna
36586,Blade Collection
11452,National Lampoon’s Van Wilder Collection
11590,Slap Shot Collection
8346,My Big Fat Greek Wedding Collection
307,War Trilogy
15482,Killer Tomatoes! Collection
45878,Horror High Collection
12154,3 Men Collection
11630,3 Men Collection
9334,The Scorpion King Collection
11470,Friday the 13th Collection
5203,Wild Orchid Collection
557,Spider-Man Collection
12227,White Fang Collection
43643,White Fang Collection
1894,Star Wars Collection
15417,Philo & Clyde Collection
4614,The Jack Ryan Collection
2501,The Bourne Collection
9637,Scooby-Doo Collection
14774,Cheech & Chong Collection
11544,Lilo & Stitch Collection
11982,Look Who's Talking Collection
21972,Like Mike Collection
608,Men In Black Collection
11442,Halloween Collection
10996,Stuart Little Collection
818,Austin Powers Collection
24130,Our Man Flint Collection
36645,The Modesty Blaise Collection
23728,Our Man Flint Collection
9488,Spy Kids Collection
7451,xXx Collection
34070,Living Trilogy
9266,Blue Crush Collection
15070,Undisputed Collection
11243,Care Bears Collection
19975,Care Bears Collection
9595,Hot Shots! Collection
24038,976-EVIL Collection
3127,Frankenstein (Hammer Series)
10859,Stakeout Collection
10611,Barbershop Collection
4108,The Transporter Collection
18943,Ernest Collection
32685,Ernest Collection
18477,The Hills Have Eyes (Original) Collection
12262,The Hills Have Eyes (Original) Collection
9533,The Hannibal Lecter Anthology
10575,"Heaven, Hell and Purgatory Collection"
1682,Godzilla (Showa) Collection
39462,Godzilla (Showa) Collection
18983,Godzilla (Showa) Collection
24348,Qatsi Collection
82545,The Last Picture Show Collection
34600,Ernest Collection
39128,Ernest Collection
11868,Dracula (Hammer Series)
10772,Django - Original films
77079,Django - Original films
12600,Pokémon Collection
565,The Ring Collection
21925,Qatsi Collection
10285,Friday the 13th Collection
11009,Saturday Night Fever Collection
10805,Saturday Night Fever Collection
225,Man of Marble/Iron Collection
17205,Enter the Ninja Collection
15900,Faces of Death Collection
12237,Faces of Death Collection
15901,Faces of Death Collection
15902,Faces of Death Collection
15904,Faces of Death Collection
97251,Faces of Death Collection
22435,Göta kanal collection
2264,The BRD Collection
39874,My Bloody Valentine Collection
31646,Piranha Collection
9012,Jackass Collection
12208,James Bond Collection
9021,The Santa Clause Collection
10167,Half Past Dead Collection
672,Harry Potter Collection
29229,Left Behind Collection
12716,"Pagnol, Childhood's Memories"
12717,"Pagnol, Childhood's Memories"
13888,The Blue Lagoon collection
9538,Scanners Collection
27997,Rocky Horror Collection
36669,James Bond Collection
10426,Friday Collection
20992,Brother Collection
6007,Elling Collection
25239,I Spit on Your Grave (Original) Collection
14433,Anglo-Zulu War Collection
9932,Analyze Collection
22257,Vabank (Collection)
35343,Jönsson Gang
171,The Party Collection
11564,Class of 1999 Collection
20787,Turkish Star Wars
201,Star Trek: The Next Generation Collection
121,The Lord of the Rings Collection
11317,My Girl Collection
4032,My Girl Collection
31804,Road to Collection
16225,Heavy Metal Collection
23626,Blue Collar Comedy Tour Collection
9358,Final Destination Collection
15802,Tokyo Decadence series
11915,Le Gendarme de St. Tropez Collection
29224,Jönsson Gang
2262,The BRD Collection
24830,They Call Me Bruce Collection
9699,The Pink Panther (Original) Collection
23943,Zapped Collection
6038,Shanghai Noon Collection
14873,The Jungle Book Collection
12139,Dennis the Menace Collection
24883,The Black Stallion Collection
17264,The Black Stallion Collection
10929,Willard
15347,Born Free Trilogy
2671,Ringu Collection
9669,Ringu Collection
42695,I Am Curious Collection
18992,The Flicka Collection
29912,Demetrius Filmreihe
7294,Aki Kaurismäki's Finland trilogy
2662,House of 1000 Corpses Collection
36658,X-Men Collection
10708,Daddy Day Camp Collection
17464,Breakin' Collection
15259,Breakin' Collection
42792,Nevada Smith Collection
604,The Matrix Collection
1555,The Klapisch Trilogy
33875,Pokémon Collection
310,Almighty Collection
12,Finding Nemo Collection
9902,Wrong Turn Collection
584,The Fast and the Furious Collection
5921,Nevada Smith Collection
14676,A Man Called Horse Collection
10152,Dumb and Dumber Collection
20694,Rugrats Collection
35669,Dracula (Hammer Series)
170,28 Days/Weeks Later Collection
9471,Charlie's Angels Collection
10327,Legally Blonde Collection
296,The Terminator Collection
22,Pirates of the Caribbean Collection
8961,Bad Boys Collection
9486,Johnny English Collection
24259,Trilogie
1996,Tomb Raider Collection
12279,Spy Kids Collection
21882,Gator Collection
24993,Kickboxer Collection
4984,Gator Collection
8273,American Pie Collection
9257,S.W.A.T. Collection
33954,Totò Collection
6466,Friday the 13th Collection
10923,Agent Cody Banks Collection
9362,Tremors Collection
936,The Pink Panther (Original) Collection
12268,The Pink Panther (Original) Collection
7504,Elements Trilogy
513,Elements Trilogy
11351,Jeepers Creepers Collection
2722,Sides of the Bed
11547,The Cabin Fever Collection
1428,Mexico Trilogy
10617,Once Upon a Time in China Collection
10618,Once Upon a Time in China Collection
10619,Once Upon a Time in China Collection
8408,Living Dead Collection
277,Underworld Collection
17614,Yossi Collection
18113,Dorm Daze Collection
11475,Leningrad Cowboys Collection
11806,Beethoven Collection
10438,Beethoven Collection
9871,Ginger Snaps Collection
33258,American Graffiti Collection
11059,House of the Dead Collection
24,Kill Bill Collection
